#FB samp H_DM H_W H_SNR DM W SNR SNR_0 F1 F2 F3 index utc MEANf1 MEANf2 MEANf3 MEANr STDf1 STDf2 STDf3 STDr SN_zap n_zap Mod_ind Mod_indT
122 75985 194.855 4.0 9.5822 193.711 32 9.94204572052 9.11798109754 -0.0708573730662 12.2785709798 63.8424932957 9468.39483283 2016-08-16-21:23:51 127.358 129.622 133.017 129.446 21.5793 22.6756 24.3607 21.4676 5.63262554357 9 2.88178 1.94581
123 76032 123.419 4.0 9.48015 124.268875 24 11.6068284007 6.98588770403 -3.60424034297 34.6878677607 54.2873978615 9468.39485377 2016-08-16-21:23:51 127.91 128.143 133.306 128.633 21.3924 22.1205 23.0645 21.4456 9.33797494636 3 2.56034 1.5407
190 74062 180.963 4.0 9.01294 183.25225 20 10.9046212348 7.61913908232 7.63138011098 9.02690440416 73.9627838135 9468.39397632 2016-08-16-21:23:51 129.544 127.695 127.121 128.326 21.2051 22.4341 27.1201 21.1578 5.52036319131 3 2.72099 1.90295
228 73947 220.137 3.0 9.17041 222.8665 16 9.53736495972 3.31411170959 6.460403651 10.1635143161 62.6963794231 9468.3939251 2016-08-16-21:23:51 127.825 127.325 132.959 127.948 21.0847 23.6694 29.8724 21.1828 5.51405763626 6 2.20901 1.54059
234 72832 172.192 4.0 9.47263 175.457125 28 11.7769547935 9.97122730328 3.6758236587 19.5229247212 61.4429533482 9468.39342847 2016-08-16-21:23:51 127.411 125.909 130.861 126.853 21.4489 22.1028 25.7851 21.3684 5.12750280149 6 2.67235 1.65239
235 72873 117.009 3.0 9.15539 114.684375 16 10.6412353516 5.57588529587 6.73575103283 8.89464616776 60.9959721565 9468.39344674 2016-08-16-21:23:51 126.977 126.647 131.281 127.333 21.309 22.6324 26.6354 21.3343 3.7800450325 6 2.31898 1.71581
267 75178 53.9535 5.0 9.36631 51.9141 40 11.907296786 11.0046536373 1.74814816564 11.5111112595 56.1925947666 9468.39447339 2016-08-16-21:23:51 126.525 127.258 128.983 126.737 21.5661 22.6964 26.9759 21.3286 9.4798068093 3 3.04525 1.58246
306 75058 66.7903 3.0 9.27194 68.4833625 16 12.8579435349 9.76184177399 2.67844218761 9.55552309752 67.1927034855 9468.39441995 2016-08-16-21:23:51 125.634 125.972 125.613 125.829 20.9738 22.0962 25.057 21.0831 7.04862594604 4 2.50843 1.99017
303 74938 225.537 4.0 9.41224 225.5975 32 14.0112160483 3.75303962976 5.87704181671 3.98095697165 65.7719790936 9468.3943665 2016-08-16-21:23:51 125.049 125.002 124.581 125.574 21.1231 22.0278 24.0167 21.2708 8.21846822093 2 2.53186 1.83877
255 73204 338.527 5.0 9.49786 336.61675 40 13.0959664436 3.04802170597 1.97634268552 2.74777747691 66.3066625595 9468.39359416 2016-08-16-21:23:51 128.337 125.384 126.133 127.769 21.4685 22.818 25.5075 21.529 6.58347597174 4 3.19529 1.8267
311 81416 117.009 3.0 9.08977 117.0405 12 12.7877488285 6.48581484137 73.696064949 -0.415872456506 9.18385013938 9468.39725183 2016-08-16-21:23:51 122.805 125.254 125.983 125.695 24.0579 22.6406 20.4619 21.0422 8.76892897608 3 2.2552 1.77331
307 74999 279.963 4.0 9.06907 285.04725 20 13.5164084102 5.70102268277 -1.47823076695 9.19274762273 66.0930812359 9468.39439367 2016-08-16-21:23:51 126.214 125.738 125.451 126.15 21.6863 22.0696 25.5948 21.1231 3.58637644465 5 2.79083 1.99656
313 75185 117.009 4.0 10.1531 115.46975 28 15.3594176565 12.556988087 3.10643352568 10.8555421233 68.2396888733 9468.39447651 2016-08-16-21:23:51 125.735 125.625 124.277 126.228 20.7485 22.1505 23.1916 21.1338 12.4709618942 2 2.60506 1.88933
20 92876 1167.39 5.0 9.95842 1160.92625 40 13.9021153935 1.20865902113 66.3424789906 1.43105247989 7.78047963977 9468.40235616 2016-08-16-21:23:51 126.522 128.565 127.434 128.393 23.9076 22.1336 20.7105 21.37 8.22292979111 4 2.93647 1.80187
34 93130 1653.69 5.0 9.91492 1644.545 40 12.7475711299 1.20434969343 69.8034286499 9.36010032892 1.72312837094 9468.40246929 2016-08-16-21:23:51 127.979 129.668 129.792 129.281 23.8387 22.1869 21.1245 21.5183 9.41122669789 4 3.50628 2.12151
40 90451 1857.14 5.0 10.1076 1825.31375 56 14.1262447275 0.509202750247 69.5510268211 13.8156145811 2.87769790739 9468.40127605 2016-08-16-21:23:51 126.48 128.745 128.358 127.988 24.5963 22.1613 20.892 21.3243 4.07863906348 6 3.39565 1.99336
47 91130 1281.03 5.0 9.05999 1251.63 32 12.3364419019 2.44618488013 67.2584414482 6.9654636085 5.23864962161 9468.40157848 2016-08-16-21:23:51 127.798 128.814 128.933 128.187 25.1753 21.6615 21.0088 21.4347 5.83254187022 6 3.3246 1.85439
36 90331 2037.74 5.0 9.23455 2058.423875 64 13.8398218155 0.0764887034893 63.0370616913 14.3531635404 8.2743152976 9468.4012226 2016-08-16-21:23:51 126.534 128.724 128.203 127.603 24.7541 22.1155 20.8572 21.1981 4.62833023071 7 3.56947 1.73309
58 87912 1281.03 4.0 10.5969 1273.9425 24 14.6249720499 1.393156499 69.6359634399 5.14800511301 3.30023914576 9468.40014517 2016-08-16-21:23:51 125.589 128.116 128.572 127.631 24.175 22.3422 20.8207 21.2034 5.6398974011 5 2.47673 1.82853
156 91759 1114.4 5.0 9.48923 1121.1725 40 13.3184491986 2.50450538391 66.6353642941 1.98642015457 -6.68881833553 9468.40185864 2016-08-16-21:23:51 127.64 127.889 128.628 131.488 23.549 21.936 21.061 21.6741 7.78518346231 4 3.25975 2.14902
55 91230 1814.54 4.0 9.55126 1815.03 24 12.0914472657 1.44209008543 72.550702095 3.04753724486 2.39296052605 9468.40162302 2016-08-16-21:23:51 128.846 128.391 129.261 129.2 25.5473 21.8398 21.3107 21.501 2.18927961846 6 2.82156 1.9799
266 85499 668.015 4.0 10.5462 656.5175 20 15.2606965067 1.23355472781 61.9663655758 16.7421296239 0.215610186569 9468.39907041 2016-08-16-21:23:51 125.76 126.286 125.615 126.481 22.9222 22.0331 21.0611 21.0652 7.75330196678 6 2.45448 1.62119
60 90930 1900.73 5.0 9.92286 1945.35 56 14.2961397008 0.0 71.5147435665 3.86302694678 15.1840120554 9468.4014894 2016-08-16-21:23:51 129.139 128.316 129.102 128.068 25.9664 21.9978 21.0391 21.3634 3.99476666145 7 3.28778 1.81213
265 85462 733.255 4.0 11.4373 724.914 32 15.7222526688 2.5736841545 66.5539741516 9.55485776067 1.77895836532 9468.39905393 2016-08-16-21:23:51 126.31 126.567 125.455 127.728 22.7662 22.3683 20.807 21.2291 14.1684554877 2 2.5122 1.63721
318 84858 300.692 4.0 9.50895 297.1995 20 12.701376884 8.97263560796 71.2171912193 19.1456511617 -1.63407102227 9468.39878491 2016-08-16-21:23:51 124.395 125.598 125.534 126.344 21.4258 22.2395 20.4031 21.0665 12.701375178 0 2.93349 2.00748
300 88359 843.141 4.0 9.47452 848.27175 16 10.9499359131 4.94379425049 60.5713427067 2.99419499934 4.07882668078 9468.40034427 2016-08-16-21:23:51 127.061 125.701 126.051 126.658 24.6458 22.3417 21.0402 21.2137 5.11041736603 5 2.61914 1.56651
321 277448 151.843 5.0 10.5919 149.955 24 10.8282648174 7.07401310844 61.5714013577 23.8299146295 3.01732718945 9468.4845653 2016-08-16-21:23:51 146.834 124.592 126.718 126.639 29.1285 22.0305 21.2665 21.1405 6.64683297005 6 3.22926 2.23375
228 290463 107.86 4.0 9.91896 110.85 28 12.355069841 8.12230072189 43.4899508953 11.2510614097 34.5952451229 9468.49036223 2016-08-16-21:23:51 131.874 125.876 135.14 127.489 25.8912 24.4838 35.404 21.4363 7.39307284123 7 2.56342 1.89478
347 93969 750.528 5.0 9.28504 737.62375 40 11.7638311641 6.86781726109 44.7992116213 40.8818542957 5.05321510136 9468.40284298 2016-08-16-21:23:51 128.311 126.444 126.162 125.365 23.8783 22.3198 20.9691 21.247 7.98963907299 6 3.48806 1.68765
346 93769 1405.7 5.0 9.71218 1422.3925 64 13.4415044785 0.0 68.687582016 22.7619215846 3.71683500707 9468.4027539 2016-08-16-21:23:51 126.835 125.908 126.112 125.341 22.7258 21.9482 20.8305 21.1102 13.4415073395 0 3.18204 1.69828
11 100862 1857.14 5.0 10.3334 1879.1825 48 12.870043222 1.66092417987 72.5697636604 2.98231914639 4.48768027127 9468.40591316 2016-08-16-21:23:51 130.144 128.14 128.122 128.668 22.736 22.7693 20.9913 21.549 7.19984707813 5 3.30527 1.98291
85 338392 1991.01 4.0 9.13172 1945.35 32 13.0392787016 0.0 11.0289283097 3.9612095803 62.3356342316 9468.51171 2016-08-16-21:23:51 130.972 129.155 126.751 128.208 24.6391 21.935 37.7832 21.749 0.541582114331 8 3.28633 2.72005
86 338384 2037.74 5.0 9.70744 2044.9411 32 14.4037320087 0.71226774708 9.03799235821 2.7373554185 64.0918731689 9468.51170644 2016-08-16-21:23:51 130.434 129.21 126.462 128.155 24.5493 21.8717 36.891 21.6698 1.83077413127 9 3.4708 2.57695
271 347500 117.009 5.0 9.16287 119.396625 48 14.6944688833 11.4859103503 3.30950990319 -1.95292942226 74.3752002716 9468.51576674 2016-08-16-21:23:51 127.979 126.755 125.938 126.266 21.6349 22.2377 40.7761 21.9636 1.96845764334 8 2.92355 2.05262
112 339187 1114.4 5.0 9.12526 1127.645 40 14.3603419046 1.43479268308 16.4532825351 -1.19177335873 63.232088089 9468.5120641 2016-08-16-21:23:51 130.905 128.836 125.683 128.188 24.7292 21.8512 35.608 21.9434 1.90272699957 8 3.557 2.62709
127 357875 151.843 4.0 10.4842 155.742 24 15.9843259186 12.7609563035 37.1911585331 -1.02501334623 53.0176699162 9468.52038781 2016-08-16-21:23:51 125.459 129.122 129.07 128.223 26.7302 22.0229 24.9679 21.2182 5.78899475559 6 2.24791 1.72526
128 357881 113.899 3.0 10.1322 116.239125 16 13.0290117264 11.3225984573 47.07685709 1.712654531 42.8797960281 9468.52039048 2016-08-16-21:23:51 126.29 128.867 131.029 129.046 27.6282 21.9256 26.4263 21.5563 5.26793527603 6 2.00686 1.58205
272 347332 554.276 3.0 9.41293 541.477 16 13.114071846 0.424005627632 -4.40117046237 5.40297180414 67.2444820404 9468.51569191 2016-08-16-21:23:51 126.685 126.349 127.161 126.495 22.1567 22.055 37.5946 22.0066 2.51621413231 6 2.49824 2.16935
75 386198 242.476 5.0 9.29547 238.163375 56 10.67872111 7.44414886523 26.4121711254 28.4443169832 49.7072339058 9468.53300299 2016-08-16-21:23:51 132.992 133.792 140.097 129.76 26.1226 27.6942 27.5059 21.3402 7.68368627997 6 3.12921 1.84361
78 386260 307.92 5.0 10.5684 311.65775 64 14.4120187759 7.11047697067 18.3352023363 28.3791363239 60.8618438244 9468.53303061 2016-08-16-21:23:51 135.351 135.123 136.937 128.617 26.071 27.8066 25.1092 21.1903 13.5297527313 6 2.82035 1.7154
87 338456 1900.73 5.0 10.2694 1945.35 40 13.9405678329 2.47438253714 13.3737519383 7.92439356446 60.6276750565 9468.51173851 2016-08-16-21:23:51 129.994 128.896 127.263 127.823 24.3102 22.3357 36.7092 21.7882 3.55184383999 7 3.51436 2.62168
94 386772 130.092 3.0 9.13726 133.532 16 12.5615549088 8.78945827484 34.305486083 45.35343647 20.0074151158 9468.53325865 2016-08-16-21:23:51 125.754 138.563 132.562 128.072 23.6807 27.714 24.0186 21.0943 8.23760223389 5 2.03006 1.43704
77 386178 481.713 5.0 9.85487 484.663 64 15.8226709366 6.60108280182 28.332901001 28.2853186131 49.9913483858 9468.53299408 2016-08-16-21:23:51 131.552 134.131 135.49 128.301 25.756 27.2214 25.4504 21.5736 13.1090021133 3 2.68164 1.65307
47 394627 126.721 3.0 9.10392 128.42375 16 10.8616275787 10.5563163757 -1.25739648938 50.2588748932 39.9408280849 9468.53675731 2016-08-16-21:23:51 126.347 144.127 135.403 129.024 22.9515 28.1843 27.3894 21.6145 6.96095514297 6 2.02443 1.53682
3 399389 380.917 3.0 9.06032 381.0195 16 17.0228633881 5.39158391953 42.3819333315 12.7811089158 37.0877057314 9468.53887832 2016-08-16-21:23:51 127.822 125.781 127.258 127.114 26.9397 22.9886 22.8771 21.1801 11.2509937286 7 1.99813 1.60843
71 395391 214.855 3.0 9.06709 209.689 16 9.44287014008 6.67769861221 9.02848392725 66.0605311394 24.821972847 9468.53709759 2016-08-16-21:23:51 129.924 146.221 137.69 128.784 26.1365 30.0154 26.7529 21.6413 6.51483821869 3 2.48235 1.94655
58 394936 286.717 3.0 10.2064 288.502375 16 14.6831464767 6.18152475357 -3.12813296914 62.3621404171 34.2691004276 9468.53689493 2016-08-16-21:23:51 124.626 141.539 134.096 128.059 23.4753 30.0503 25.1749 21.6744 6.30541229248 6 2.14373 1.78303
72 395381 338.527 5.0 9.41463 340.61925 48 16.9318344226 4.56700076699 4.48345728219 52.2214710712 37.2586101294 9468.53709314 2016-08-16-21:23:51 130.093 137.969 132.605 127.94 26.1059 27.9941 25.9906 21.3421 10.9430664415 7 2.4137 1.53566
75 401262 300.692 3.0 9.38357 302.55975 16 11.9208288193 4.73059177399 58.4395587444 30.72527349 7.75824189186 9468.53971256 2016-08-16-21:23:51 146.931 138.64 129.361 128.464 28.9498 25.0311 23.1308 21.3819 6.85290145874 7 2.19558 1.63842
75 395489 315.313 3.0 10.9692 319.137 16 13.6341381073 3.54685139656 10.0646071136 49.4447797537 36.816072464 9468.53714124 2016-08-16-21:23:51 137.942 142.044 135.174 129.911 27.9988 29.8833 26.5983 21.6985 10.2976398468 5 1.95344 1.46584
77 395509 428.433 4.0 11.2884 438.606 32 15.49955007 4.27798031383 28.2876759768 34.9791049957 40.045401454 9468.53715015 2016-08-16-21:23:51 141.488 139.066 134.085 129.201 29.8985 28.728 27.1664 21.7569 11.7141804357 7 2.10181 1.42369
92 396024 279.963 4.0 10.3828 278.36825 32 18.7156998784 6.53976059344 38.9004826546 30.6948333979 26.4392971992 9468.53737953 2016-08-16-21:23:51 132.206 143.088 131.647 128.143 27.7749 28.7512 24.321 21.0899 12.963446743 7 1.82699 1.29059
93 396025 346.623 4.0 9.69304 338.527 32 15.7631897342 11.2665269565 60.573476553 22.6276516914 22.99195081 9468.53737998 2016-08-16-21:23:51 132.929 141.723 132.46 128.952 29.7658 27.6271 25.0811 21.389 6.19218733489 8 2.3877 1.83416
144 397793 307.92 3.0 9.89708 309.830125 16 11.5256853104 5.09679365158 36.3101184368 36.4545166492 22.9367986321 9468.53816745 2016-08-16-21:23:51 138.809 145.899 133.151 130.12 30.5593 28.3981 25.2959 21.3923 7.8776550293 8 1.93669 1.37699
142 397734 668.015 4.0 9.23291 656.5175 32 10.9736609817 5.84417642346 54.880130291 9.50754731894 16.2010788918 9468.53814117 2016-08-16-21:23:51 128.087 136.529 132.165 130.5 29.9879 27.2586 25.5158 21.622 8.00102959489 6 2.12608 1.41572
